waiting_list,program,tools_experience,r_data_modeling_experience,gender,editor_choice,r_graphics_experience,r_advanced_multivariate_analysis_experience,r_markdown_experience,matlab_experience,github_experience
No,Data Science Certification,"Matlab, R, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)",3,she/her,notepad++,2,1,1,1,1
No,IDSE (master),"R, Github, SQL, RStudio, shell (terminal / command line), C/C++, Python, LaTeX, regular expressions (grep), XML, dropbox, google drive (formerly docs)",2,he/him,vi/vim,1,1,0,0,2
No,Statistics (master),"Excel, Python, dropbox",1,he/him,vi/vim,0,0,0,0,1
No,IDSE (master),"Matlab, R, RStudio, Python, LaTeX, google drive (formerly docs)",2,she/her,RStudio,1,1,0,1,1
No,IDSE (master),"Excel, google drive (formerly docs)",0,she/her,vi/vim,0,0,0,1,1
No,Data Science Certification,"R, Excel, SQL, dropbox, google drive (formerly docs)",2,she/her,RStudio,1,1,2,0,1
No,Data Science Certification,"Excel, Python, google drive (formerly docs)",0,he/him,ipython,0,0,0,0,0
No,Data Science Certification,"Github, Excel, SQL, shell (terminal / command line), C/C++, Python, regular expressions (grep), google drive (formerly docs)",0,he/him,vi/vim,0,0,0,0,2
No,IDSE (master),"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), SPSS, Python, Stata, LaTeX, Sweave/knitr, Web: html css js, dropbox, google drive (formerly docs)",3,he/him,RStudio,3,2,3,2,2
No,Ph.D.,"R, Github, Excel, SQL, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)",1,he/him,vi/vim,1,0,0,0,2
Yes,Other masters,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), LaTeX, regular expressions (grep), Sweave/knitr, dropbox, google drive (formerly docs)",3,he/him,RStudio,1,1,1,0,1
No,Other masters,"Github, shell (terminal / command line), C/C++, Python, LaTeX",0,he/him,Sublime,0,0,1,0,2
No,IDSE (master),"R, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, dropbox, google drive (formerly docs)",1,he/him,RStudio,1,1,2,0,0
No,Data Science Certification,"Excel, Python, dropbox, google drive (formerly docs)",2,he/him,Sublime,0,1,0,1,1
No,IDSE (master),"R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)",2,she/her,Sublime,0,1,2,0,2
No,IDSE (master),"Matlab, R, Excel, RStudio, C/C++, Python",1,he/him,RStudio,1,1,0,1,0
Yes,Other masters,"Matlab, Excel, C/C++, Python",1,he/him,TextWrangler,1,1,1,1,1
Yes,Statistics (master),"R, Github",1,she/her,RStudio,0,0,0,0,1
No,Other masters,"R, Excel, RStudio, dropbox, google drive (formerly docs)",2,she/her,RStudio,1,1,0,0,0
No,IDSE (master),"Github, Excel, SQL, RStudio, shell (terminal / command line), Python, Web: html css js, dropbox, google drive (formerly docs)",1,he/him,"Atom, Sublime",1,1,1,1,1
No,IDSE (master),"Excel, RStudio, Python, dropbox, google drive (formerly docs)",1,he/him,RStudio,1,1,1,1,0
No,IDSE (master),"Matlab, Github, Excel, SQL, shell (terminal / command line), C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)",0,he/him,Any,0,0,0,2,1
No,IDSE (master),"R, Github, Excel, SQL, RStudio, shell (terminal / command line), C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)",2,she/her,Sublime,0,0,2,2,2
No,IDSE (master),"Matlab, R",1,he/him,RStudio,0,0,0,1,0
No,Data Science Certification,"Github, Excel, SQL, dropbox, google drive (formerly docs)",0,she/her,notepad++,0,0,0,0,1
No,Data Science Certification,"Excel, shell (terminal / command line), Python, google drive (formerly docs)",0,he/him,Sublime,0,0,0,0,1
No,Data Science Certification,"R, Excel, RStudio, dropbox, google drive (formerly docs)",2,she/her,RStudio,1,1,2,0,1
No,IDSE (master),"Matlab, R, Excel, RStudio, Python, dropbox",2,she/her,RStudio,1,0,1,0,1
No,Data Science Certification,"Github, Excel, SQL, RStudio, Python, dropbox, google drive (formerly docs)",1,he/him,Sublime,0,0,0,0,2
No,IDSE (master),"R, Github, Excel, SQL, RStudio, shell (terminal / command line), C/C++, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)",1,he/him,Sublime,1,1,1,0,3
No,Data Science Certification,"R, Github, Excel, RStudio, Python, google drive (formerly docs)",1,he/him,ipython,1,0,0,1,1
No,Data Science Certification,"SQL, shell (terminal / command line), C/C++, Python",1,he/him,vi/vim,0,0,0,1,1
No,Data Science Certification,"R, Excel, SQL, Python, Stata, LaTeX, Web: html css js, google drive (formerly docs)",1,he/him,notepad++,0,0,0,0,0
No,Ph.D.,"R, Excel, RStudio, shell (terminal / command line), Python, Stata, regular expressions (grep), dropbox, google drive (formerly docs)",2,she/her,TextMate,1,1,0,0,1
No,Data Science Certification,"R, Excel, RStudio, ggplot2, Python, dropbox",2,Other,RStudio,1,1,0,0,1
No,Data Science Certification,"Matlab, R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, Stata, XML, dropbox, google drive (formerly docs)",1,he/him,Sublime,1,1,1,2,2
No,Data Science Certification,"shell (terminal / command line), Python, regular expressions (grep), Web: html css js",1,he/him,"Webstorm, pycharm",0,0,0,0,3
No,Other masters,"Matlab, R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, regular expressions (grep), Web: html css js, dropbox, google drive (formerly docs)",2,he/him,Sublime,2,2,2,2,2
No,IDSE (master),"R, Excel, SQL, C/C++, dropbox, google drive (formerly docs)",1,he/him,notepad++,0,0,0,0,1
No,Other masters,"Matlab, R, Excel, SQL, RStudio, SPSS, Python, Stata, dropbox",2,he/him,notepad++,2,2,2,2,1
No,IDSE (master),"Matlab, R, Github, SQL, ggplot2, shell (terminal / command line), C/C++, Python, LaTeX, dropbox, google drive (formerly docs)",2,he/him,Atom,1,2,0,1,2
No,IDSE (master),"R, Github, Excel, SQL, RStudio, Python",2,he/him,RStudio,1,2,0,2,1
No,IDSE (master),"R, SQL, RStudio, shell (terminal / command line), Python",1,he/him,TextWrangler,1,0,0,0,0
No,Other masters,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, lattice, Sweave/knitr",2,he/him,Sublime,2,1,2,0,1
No,Data Science Certification,"R, Github, Excel, RStudio, regular expressions (grep), dropbox, google drive (formerly docs)",1,he/him,RStudio,2,1,2,1,2
No,IDSE (master),"Matlab, R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, Stata, LaTeX, XML, Web: html css js, google drive (formerly docs)",2,he/him,RStudio,2,2,2,2,2
No,IDSE (master),"R, SQL, RStudio, Python",1,he/him,TextWrangler,1,0,0,0,0
No,Other masters,"R, Github, RStudio",1,she/her,RStudio,1,0,1,0,1
No,Data Science Certification,"Github, Excel, SQL, shell (terminal / command line), XML, Web: html css js",0,she/her,Eclipse ,0,0,0,1,1
No,IDSE (master),Python,1,he/him,Sublime,1,0,1,0,1
No,IDSE (master),"Matlab, SQL, shell (terminal / command line), Python, LaTeX, Web: html css js",2,he/him,vi/vim,1,1,1,2,1
